,IFC,Master Format,eBPK,Master Format indexes,eBPK indexes
1110,trackstructure part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
1111,turnout superstructure,['Siding' 'Fiber-Cement Siding' 'Superstructure Commissioning'],['Heat output' 'Air output' 'Production system fitting'],[1565 1577  562],[108 120 197]
1112,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1113,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1114,blocking device,"['Gages, Rules, and Blocks' 'Plastic Blocks'
 'Fiance Block Conservation Treatment']",['Device for treatment' 'Storage device' 'Mobile device'],[7640 2356  939],[215 245 287]
1115,dera iler,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1116,frog,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1117,half_set_of_ blades,['Steel Windows' 'Steel Water-Tube Boilers' 'Steel Cone-Bottom Silos'],['Post' 'Floor marking' 'VAT'],[1957 4202 7688],[ 46 268 327]
1118,sleeper,"['Track Crosstie Replacement' 'Track Cross Ties'
 'Concrete Track Cross Ties']","['Tied stairs' 'Earth connected podium'
 'Electro acoustic loudspeaker system']",[6478 6516 6517],[ 59  60 103]
1119,speed regulator,"['Speed Instruments' 'Airfield Lighting Regulator Assembly'
 'Vibration Velocity Measurement Devices']",['precipitation' 'Creating for capital' 'Capital costs for property'],[4031 6606 7354],[ 36 314 313]
1120,trackendof alignment,['Nuclear Fuel Fusion Reactors' 'Bonds' 'Bond Forms'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8731  510  173],[327 102 104]
1121,vehicle stop,['Stop Logs' 'Stop Plates' 'Transportation Stop Shelters'],['Construction site closure' 'retaining wall' 'Inner conclusion'],[6941 6940 2689],[ 15 249 185]
1122,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1123,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1124,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1125,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1126,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1127,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1128,bicycle crossing,"['Roadway Crossing Control Equipment' 'Track Cross Ties'
 'Concrete Track Cross Ties']",['Storey blanket' 'Top layer' 'VAT'],[6653 6516 6517],[ 65 267 327]
1129,bus_stop,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1130,carriageway,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1131,central island,"['Central HVAC Equipment' 'Schedules for Central HVAC Equipment'
 'Central Station Systems']",['Switching device combination' 'Hand change tax' 'Cold distribution'],[4284 4001 5158],[ 91   4 113]
1132,central reserve,"['Central HVAC Equipment' 'Schedules for Central HVAC Equipment'
 'Central Station Systems']","['reserve' 'Remuneration for first letting'
 'Additional costs for first letting']",[4284 4001 5158],[325 319 320]
1133,hard shoulder,['Heavy Timber Construction' 'Heavy Timber Trusses' 'Heavy Timber Framing'],"['Storage strong current' 'Transforming strong current'
 'Consumer strong current electrical appliances']",[1252 1257 1256],[77 76 80]
1134,intersection,"['Roadway Crossing Control Equipment' 'Product Requirements'
 'Owner-Furnished Products']","['Production system distribution' 'Production system storage'
 'Production system supply']",[6653  464  468],[196 195 193]
1135,layby,"['Sinkhole Remediation by Backfilling' 'Sinkhole Remediation by Grouting'
 'Sinkhole Remediation by Compaction Grouting']",['Individual planting' 'VAT' 'Cold source'],[721 718 719],[260 327 110]
1136,parking bay,['Parking Bumpers' 'Parking Meters' 'Metal Parking Bumpers'],['Parking system' 'VAT' 'Refrigeration'],[5714 2763 5715],[242 327 111]
1137,passing bay,"['Pass Windows' 'Photoluminescent Exit Specialties'
 'Emergency and Exit Lighting']",['Top layer' 'Hand change tax' 'Fall protection'],[1979 2596 4686],[267   4 162]
1138,pedestrian_crossing,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1139,railway crossing,"['Roadway Crossing Control Equipment' 'Track Cross Ties'
 'Concrete Track Cross Ties']",['Rainwater line' 'Gas line' 'Power line'],[6653 6516 6517],[34 35 28]
1140,refuge island,"['Elevator Safety Equipment' 'Electronic Safety and Security'
 'Safety Specialties']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3534 4894 2578],[327 102 104]
1141,road segment,['Temporary Roads' 'Temporary Access Roads' 'Road-Mix Asphalt Paving'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 442  439 5650],[327 102 104]
1142,roadside,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1143,roadsi depart,['Starting and Adjusting' 'Spare Parts' 'Siding'],['Hand change tax' 'Perimeter contribution' 'Special component'],[ 494  513 1565],[  4   3 187]
1144,roadway plateau,['Roadway Equipment' 'Roadway Embankments' 'Roadway Construction'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6649 5342 6628],[327 102 104]
1145,roundabout,"['Rotary Actuators' 'Single-Screw Rotary Pumps'
 'Rotary Liquid-ring Compressors']",['Top layer' 'Operating income' 'Wastewater fitting'],[7391 7982 7884],[267 324 132]
1146,shoulder,"['Landside Levee Berms' 'Prefabricated Berms for Tank Containment'
 'Stability Landside Levee Berms']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6790 8274 6791],[327 102 104]
1147,sidewalk,['Sidewalks' 'Aggregate-Turf Pavement' 'Sidewalk Lifts'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5711 5703 3553],[327 102 104]
1148,soft shoulder,"['Overhung Close-Coupled Submersible Diffuser Centrifugal Pumps'
 'Landside Levee Berms'
 'Vertically Suspended Double-Casing Diffuser Centrifugal Pumps']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8079 6790 8071],[327 102 104]
1149,toll plaza,"['Machining Center Equipment' 'Electrical Motor-Control Center Schedule'
 'Unit Prices']",['Notary costs' 'Catering costs' 'Sales for additional costs'],[7578 4525  297],[  5 315 322]
1150,traffic island,['Traffic Doors' 'Traffic Signage' 'Traffic Information'],['Provisional traffic system' 'Traffic plant outside property' 'VAT'],[1895 2484   46],[ 26  55 327]
1151,traffic lane,['Traffic Doors' 'Traffic Signage' 'Traffic Information'],['Provisional traffic system' 'Traffic plant outside property' 'VAT'],[1895 2484   46],[ 26  55 327]
1152,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1153,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1154,  beam,['Concrete Beam Schedule' 'Glued-Laminated Beams' 'Beam Scaffolding'],['Shaft front' 'Air distribution' 'Air output'],[ 810 1285 3569],[172 119 120]
1155,cornice,"['Wood Cornices' 'Valance Heating and Cooling Units'
 'Electrical Power Generation Voltage Test Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1327 4354 8773],[327 102 104]
1156,diaphragm,"['Diaphragm Valves' 'Diaphragm Reciprocating Compressors'
 'Air-Operated Diaphragm Reciprocating Pumps']",['Construction site closure' 'VAT' 'Refrigeration'],[7000 7881 7984],[ 15 327 111]
1157,edge  beam,['Concrete Beam Schedule' 'Glued-Laminated Beams' 'Beam Scaffolding'],['Border' 'Border' 'Shaft front'],[ 810 1285 3569],[266 261 172]
1158,girder_ segment,"['End Sections for Stormwater Piping'
 'Reinforced Concrete Box Sections for Sewers and Culverts'
 'Concrete End Sections for Stormwater Piping']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6202 5994 6206],[327 102 104]
1159,hat stone,['Stone Countertops' 'Dry-Placed Stone' 'Stone Tiling'],['Floor marking' 'VAT' 'Smoke and heat treatment plant'],[3148 1015 2168],[268 327 102]
1160,hollow core,"['Precast Concrete Hollow Core Planks' 'Saturable Core Reactors'
 'Concrete Core Drilling']",['Contaminated excavation' 'Non contaminated excavation' 'Game'],[ 853 7392  913],[ 40  39 279]
1161,joist,['Steel Joist Schedule' 'Composite Joist Assemblies' 'Steel Joist Framing'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1075 1360 1103],[327 102 104]
1162,lintel,"['Manufactured Copings' 'Hydraulic Head Gates'
 'Differential Head Clarifier Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1637 6730 8579],[327 102 104]
1163,pier cap,"['Sinkhole Remediation by Cap Grouting' 'Underpinning Piers'
 'Bridge Pier Protection']",['Creating for capital' 'System roof' 'Capital costs for property'],[ 720 5448 6680],[314 166 313]
1164,spandrel,"['Glass-Fiber-Reinforced Concrete Spandrels' 'Folding and Portable Stages'
 'Musical Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 875 2923 2929],[327 102 104]
1165,t_  beam,['Concrete Beam Schedule' 'Glued-Laminated Beams' 'Beam Scaffolding'],['Shaft front' 'Air distribution' 'Air output'],[ 810 1285 3569],[172 119 120]
1166,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1167,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1168,cylindrical,"['Cylindrical Bar Screens'
 'Electrical Power Generation Voltage Test Equipment' 'Stage Curtains']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8482 8773 2928],[327 102 104]
1169,disk,['Disc Thickeners' 'Disc Cloth Filters' 'Disc Screens'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8671 8635 8487],[327 102 104]
1170,elastomer ic,"['Composite Steel Plate and Elastomer Decking'
 'Electrical Power Generation Voltage Test Equipment' 'Acoustical Shells']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1120 8773 2922],[327 102 104]
1171,guide,"['Vehicle Guide Rails' 'Automatic Guided Vehicle Systems'
 'Direct Geoexchange Heat Exchangers']",['Operating income' 'Operating effort' 'Material transport system'],[6633 7471 4239],[324 323 243]
1172,pot,"['Batch Cars/Transports' 'Mass Concrete for Raft Foundations'
 'Sequencing Batch Reactors']",['Smoke and heat treatment plant' 'Game' 'care'],[7462  903 8621],[102 279  16]
1173,rocker,['Rock Barriers' 'Rock Removal' 'Rock Stabilization'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5349 5333 5391],[327 102 104]
1174,roller,"['Roller Piece Material Conveyors' 'Roller Window Shades'
 'Roller-Compacted Concrete']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7480 3096  839],[327 102 104]
1175,spherical,"['Access Control Global Applications'
 'Transboundary and Global Environmental Aspects Assessment'
 'Egg-shaped Digesters']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4993  621 8684],[327 102 104]
1176,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1177,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1178,complex,['Composite Doors' 'Bifolding Composite Doors' 'Composite Preservation'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1839 1842 1203],[327 102 104]
1179,element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
1180,partial,"['Partial Depth Patching of Rigid Paving'
 'Electrical Power Generation Voltage Test Equipment'
 'Entertainment and Recreation Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5583 8773 2920],[327 102 104]
1181,provisionfor space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
1182,provisionfor void,"['Vacuum Degasifiers' 'Gas-handling Vacuum Pumps'
 'Regenerative Vacuum Pumps']",['Lifting' 'Lifting device' 'VAT'],[8137 7873 8092],[ 18 148 327]
1183,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1184,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1185,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1186,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1187,  column,"['Concrete Column Schedule' 'Steel Column Schedule'
 'Glued-Laminated Columns']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 807 1072 1286],[327 102 104]
1188,pier stem,['Underpinning Piers' 'Bridge Pier Protection' 'Jacked Piers'],['Base plate' 'Substructure foundation' 'Game'],[5448 6680 5450],[ 58  56 279]
1189,pierstem_ segment,"['End Sections for Stormwater Piping'
 'Reinforced Concrete Box Sections for Sewers and Culverts'
 'Concrete End Sections for Stormwater Piping']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6202 5994 6206],[327 102 104]
1190,pilaster,"['Wood Pilasters' 'Electrical Power Generation Voltage Test Equipment'
 'Folding and Portable Stages']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1314 8773 2923],[327 102 104]
1191,stand  column,"['Telescoping Stands' 'Standing Seam Sheet Metal Roofing'
 'Concrete Column Schedule']",['Freely standing wall' 'Interior support' 'Outer support'],[3291 1620  807],[250  64  63]
1192,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1193,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1194,ceiling,['Ceilings' 'Air-Distribution Ceiling Plenums' 'Roof Pavers'],['System roof' 'Emergency roof' 'Protection system to roof'],[2216 4113 1657],[166  51 169]
1195,cladding,"['Sheet Metal Wall Cladding' 'Masonry-Supported Stone Cladding'
 'Truss-Supported Stone Cladding']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1625 1017 1020],[327 102 104]
1196,coping,['Manufactured Copings' 'Nailing Schedule' 'Soil Nailing'],['care' 'Care measures up to handover' 'Lifting'],[1637 1231 5385],[ 16 264  18]
1197,flooring,['Flooring' 'Terrazzo Flooring' 'Fluid-Applied Flooring'],['Flooring' 'Sub construction to flooring' 'Floor marking'],[2247 2301 2320],[177 176 268]
1198,insulation,['HVAC Insulation' 'HVAC Equipment Insulation' 'Loose-Fill Insulation'],"['External heat insulation system'
 'Outside heating insulation under terrain' 'VAT']",[4008 4010 1484],[153 150 327]
1199,membrane,['Membrane Roofing' 'Membrane Diffusers' 'Elastomeric Membrane Roofing'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1579 8607 1595],[327 102 104]
1200,molding,['Molds' 'Mold Remediation' 'Mold Assessment'],['Border' 'Border' 'Provisional work management'],[7614  763  638],[261 266  24]
1201,roofing,"['Fluid-Applied Roofing' 'Polyisobutylene Roofing'
 'Copolymer-Alloy Roofing']",['System roof' 'Emergency roof' 'Protection system to roof'],[1614 1599 1601],[166  51 169]
1202,skirting board,['Board Fireproofing' 'Gypsum Board' 'Slag-Fiber Board Fireproofing'],['Border' 'Border' 'Mobile equipment for the surrounding area'],[1670 2159 1672],[261 266 277]
1203,sleevi ng,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1204,topping,"['Concrete Topping' 'Iron-Aggregate Concrete Topping'
 'Emery-Aggregate Concrete Topping']",['Top layer' 'Emergency roof' 'Underground building'],[886 888 887],[267  51 253]
1205,wrapping,['Weighing and Wrapping Equipment' 'Wrappers' 'Enclosed Contactors'],['Lifting' 'Lifting device' 'VAT'],[2809 8306 4539],[ 18 148 327]
1206,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1207,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1208,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1209,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1210,boom_ barrier,['Vehicle Barrier Fenders' 'Vehicle Barriers' 'Fluid-Applied Gas Barrier'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6634 6629  716],[327 102 104]
1211,  door,['Door Schedule' 'Single-Panel Doors' 'Door Louvers'],['Anterior door' 'Interior door' 'Outside wall construction'],[1768 1892 2050],[159 174  61]
1212,gate,['Gate Valves' 'Resilient-Seated Gate Valves' 'Gate Operators'],['Interior gate' 'Outer gate' 'Crash'],[6947 6950 5749],[175 160 186]
1213,trap  door,['Grease Traps' 'Rodent Control Traps' 'Door Schedule'],['Anterior door' 'Interior door' 'Fall protection lying outside'],[8516 5356 1768],[159 174 157]
1214,turnstile,"['Turnstiles' 'Access Control Electronic Turnstiles & Mobility Systems'
 'Electrical Power Generation Voltage Test Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2790 5034 8773],[327 102 104]
1215,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
1216,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
1217,arch_ segment,"['End Sections for Stormwater Piping'
 'Reinforced Concrete Box Sections for Sewers and Culverts'
 'Concrete End Sections for Stormwater Piping']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6202 5994 6206],[327 102 104]
1218,brace,"['Buckling Restrained Braces' 'Bracing and Anchoring'
 'Stabilized Insulated Rammed Earth Walls']",['Firm partition' 'Fire alarm system' 'VAT'],[1085  486 3441],[170  97 327]
1219,chord,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1220,collar,['Nailing Schedule' 'Manufactured Copings' 'Soil Nailing'],['Emergency roof' 'Lifting' 'Lifting device'],[1231 1637 5385],[ 51  18 148]
1221,  member,['Flexible Member Pumps' 'Process Humidifiers' 'Process Ductwork'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7970 7811 7046],[327 102 104]
1222,mullion,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1223,plate,"['Metal Plate Wall Panels' 'Metal Floor Plate Stairs'
 'Inclined Plate Settlers']",['Base plate' 'Interior door' 'Interior gate'],[1545 1137 8588],[ 58 174 175]
1224,post,"['Post Insulators' 'Post and Panel/Pylon Signage'
 'Portable Posts and Railings']",['Post' 'Construction site organization' 'Construction site closure'],[6340 2481 2792],[46 21 15]
1225,pur lin,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
1226,rafter,['Jib Cranes' 'Double-Disk Check Valves' 'Swing Check Valves'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7495 6974 6972],[327 102 104]
1227,stay_ cable,"['Cable Pressurization Equipment' 'Medium-Voltage Cables'
 'Cable Trays for Electrical Systems']",['Rainwater line' 'Gas line' 'Power line'],[6459 4490 4503],[34 35 28]
1228,stiffening_ rib,"['Guyed Communications Towers' 'Steel Ribs and Lagging'
 'Ribbed Polyvinyl Chloride Gravity Pipe']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6440 5539 5964],[327 102 104]
1229,stringer,"['Snap-on Stringer Access Flooring' 'Access Flooring Stairs and Stringers'
 'Electrical Power Generation Voltage Test Equipment']",['reserve' 'VAT' 'Refrigeration'],[2333 2337 8773],[325 327 111]
1230,structural cable,"['Cable Pressurization Equipment' 'Medium-Voltage Cables'
 'Structural Cabling']",['Structural adaptation adjacent building' 'Rainwater line' 'Gas line'],[6459 4490 1095],[53 34 35]
1231,strut,['Process Tools' 'Hydraulic Process Tools' 'Electric Process Tools'],['Shaft front' 'VAT' 'Refrigeration'],[7634 7637 7636],[172 327 111]
1232,stud,"['Non-Structural Metal Stud Framing' 'Structural Metal Stud Framing'
 'Steel-Stud-Supported Stone Cladding']","['Medical means of transportation' 'Smoke and heat treatment plant'
 'Electro acoustic loudspeaker system']",[2130 1122 1018],[223 102 103]
1233,suspender,"['Buckling Restrained Braces' 'Bracing and Anchoring'
 'Stabilized Insulated Rammed Earth Walls']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1085  486 3441],[327 102 104]
